Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018"
"Algeria","DZA","National","DZAt","Total",6.20,6.12,,
"Algeria","DZA","Urb/rur","DZAtu","Urban",6.08,6.00,,
"Algeria","DZA","Urb/rur","DZAtr","Rural",6.45,6.36,,
"Algeria","DZA","Poverty","DZAp1","Poor",5.95,5.84,,
"Algeria","DZA","Poverty","DZAp0","Nonpoor",6.21,6.12,,
"Algeria","DZA","Wealth quartiles","DZAw41","Lowest 25%",6.36,6.27,,
"Algeria","DZA","Wealth quartiles","DZAw42","Second 25%",6.17,6.08,,
"Algeria","DZA","Wealth quartiles","DZAw43","Third 25%",6.28,6.20,,
"Algeria","DZA","Wealth quartiles","DZAw44","Highest 25%",5.99,5.91,,
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",6.79,6.71,,
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",6.28,6.19,,
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",6.76,6.70,,
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",5.85,5.74,,
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",5.89,5.80,,
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",6.06,5.98,,
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",7.22,7.17,,
"Angola","AGO","National","AGOt","Total",6.38,6.40,6.42,6.44
"Angola","AGO","Urb/rur","AGOtu","Urban",6.69,6.65,6.61,6.57
"Angola","AGO","Urb/rur","AGOtr","Rural",5.94,5.94,5.94,5.94
"Angola","AGO","Poverty","AGOp1","Poor",5.84,5.83,5.82,5.81
"Angola","AGO","Poverty","AGOp0","Nonpoor",7.07,7.06,7.05,7.04
"Angola","AGO","Wealth quartiles","AGOw41","Lowest 25%",5.85,5.95,6.05,6.14
"Angola","AGO","Wealth quartiles","AGOw42","Second 25%",5.81,5.77,5.73,5.69
"Angola","AGO","Wealth quartiles","AGOw43","Third 25%",6.52,6.51,6.50,6.49
"Angola","AGO","Wealth quartiles","AGOw44","Highest 25%",7.11,7.14,7.17,7.20
"Angola","AGO","Subnat","AGOr218"," Bengo",5.74,5.58,5.42,5.26
"Angola","AGO","Subnat","AGOr209"," Benguela",6.35,6.38,6.41,6.43
"Angola","AGO","Subnat","AGOr211"," Bie",6.08,6.21,6.34,6.47
"Angola","AGO","Subnat","AGOr201"," Cabinda",6.21,5.99,5.77,5.56
"Angola","AGO","Subnat","AGOr216"," Cunene",6.75,7.20,7.65,8.10
"Angola","AGO","Subnat","AGOr210"," Huambo",6.45,6.44,6.43,6.41
"Angola","AGO","Subnat","AGOr215"," Huila",6.58,6.57,6.56,6.56
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",5.40,5.53,5.66,5.78
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",5.53,5.51,5.49,5.46
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",5.59,5.70,5.81,5.92
"Angola","AGO","Subnat","AGOr204"," Luanda",6.78,6.72,6.66,6.60
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",5.76,5.85,5.94,6.04
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",6.24,6.38,6.52,6.66
